wandb: Currently logged in as: analiju (analiju-paris) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
Conda version: 25.5.1
Python version: 3.10.16
PyTorch version: 2.5.1
CUDA available: True
CUDA device count: 2
Torchvision version: 0.20.1
Successfully set to use GPU: 1 (NVIDIA RTX A6000)
Final DEVICE variable is set to: cuda:1
Current PyTorch default device: 0
Current PyTorch default device (after set_device): 1
Dummy tensor is on device: cuda:1

=== Starting run with seed 42 ===
Total samples in folder: 27000, classes: ['AnnualCrop', 'Forest', 'HerbaceousVegetation', 'Highway', 'Industrial', 'Pasture', 'PermanentCrop', 'Residential', 'River', 'SeaLake']
Stratified split sizes: train=21600, val=2700, test=2700
wandb: Tracking run with wandb version 0.20.1
wandb: Run data is saved locally in /users/c/carvalhj/projects/eurosat_preprocessing/exploratory_notebooks/wandb/run-20250619_010936-lydff5md
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run BS512_LR4e-04_SEED42_TEMPERATURE0.2
wandb: ⭐️ View project at https://wandb.ai/analiju-paris/eurosat-contrastive-scratch-grid-search
wandb: 🚀 View run at https://wandb.ai/analiju-paris/eurosat-contrastive-scratch-grid-search/runs/lydff5md
Computed mean: [0.3441457152366638, 0.3800985515117645, 0.40766361355781555]
Computed std:  [0.09299741685390472, 0.06464490294456482, 0.05413917079567909]
Mean and std saved to models/mean_std.txt
Train/Val/Test loaders: 42/6/6 batches
Starting SimCLR training...
/users/c/carvalhj/miniconda3/envs/myenv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:240: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate   use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
Epoch 01/150 | Train Loss: 6.4456, Val Loss: 6.0263 | Probe Acc: 0.371
Epoch 02/150 | Train Loss: 5.4293, Val Loss: 5.0489 | Probe Acc: 0.440
Epoch 03/150 | Train Loss: 4.8795, Val Loss: 4.7696 | Probe Acc: 0.425
Epoch 04/150 | Train Loss: 4.5687, Val Loss: 4.3769 | Probe Acc: 0.503
Epoch 05/150 | Train Loss: 4.3212, Val Loss: 4.2347 | Probe Acc: 0.517
Epoch 06/150 | Train Loss: 4.1307, Val Loss: 4.0403 | Probe Acc: 0.524
Epoch 07/150 | Train Loss: 3.9700, Val Loss: 3.9935 | Probe Acc: 0.510
Epoch 08/150 | Train Loss: 3.8642, Val Loss: 3.7971 | Probe Acc: 0.548
Epoch 09/150 | Train Loss: 3.7585, Val Loss: 3.7104 | Probe Acc: 0.547
Epoch 10/150 | Train Loss: 3.6745, Val Loss: 3.6139 | Probe Acc: 0.551
Epoch 11/150 | Train Loss: 3.6077, Val Loss: 3.6927 | Probe Acc: 0.537
Epoch 12/150 | Train Loss: 3.5505, Val Loss: 3.5572 | Probe Acc: 0.554
Epoch 13/150 | Train Loss: 3.4948, Val Loss: 3.5025 | Probe Acc: 0.552
Epoch 14/150 | Train Loss: 3.4572, Val Loss: 3.4243 | Probe Acc: 0.546
Epoch 15/150 | Train Loss: 3.4069, Val Loss: 3.4131 | Probe Acc: 0.563
Epoch 16/150 | Train Loss: 3.3857, Val Loss: 3.4156 | Probe Acc: 0.561
Epoch 17/150 | Train Loss: 3.3622, Val Loss: 3.3216 | Probe Acc: 0.562
Epoch 18/150 | Train Loss: 3.3387, Val Loss: 3.3277 | Probe Acc: 0.579
Epoch 19/150 | Train Loss: 3.3084, Val Loss: 3.4314 | Probe Acc: 0.560
Epoch 20/150 | Train Loss: 3.2737, Val Loss: 3.3179 | Probe Acc: 0.593
Epoch 21/150 | Train Loss: 3.2618, Val Loss: 3.2443 | Probe Acc: 0.570
Epoch 22/150 | Train Loss: 3.2194, Val Loss: 3.2299 | Probe Acc: 0.579
Epoch 23/150 | Train Loss: 3.1987, Val Loss: 3.2913 | Probe Acc: 0.568
Epoch 24/150 | Train Loss: 3.1767, Val Loss: 3.2141 | Probe Acc: 0.592
Epoch 25/150 | Train Loss: 3.1590, Val Loss: 3.1502 | Probe Acc: 0.586
Epoch 26/150 | Train Loss: 3.1713, Val Loss: 3.1673 | Probe Acc: 0.589
